01-25 09:49:11.832: D/CallerInfo(1731): compareNums, new num1 = 13660614114, new num2 = 75523540495
01-25 09:49:11.832: D/CallerInfo(1731): compareNums, num1 = 13612234488, num2 = 075523540495
01-25 09:49:11.832: V/CallerInfo(1731): getCallerIndex(), after setprop NUM_LONG = 11, NUM_SHORT = 11
01-25 09:49:11.832: D/CallerInfo(1731): compareNums, new num1 = 13612234488, new num2 = 75523540495
01-25 09:49:11.832: D/CallerInfo(1731): compareNums, num1 = 13986469286, num2 = 075523540495
01-25 09:49:11.832: V/CallerInfo(1731): getCallerIndex(), after setprop NUM_LONG = 11, NUM_SHORT = 11
01-25 09:49:11.832: D/CallerInfo(1731): compareNums, new num1 = 13986469286, new num2 = 75523540495
01-25 09:49:11.840: D/CallerInfo(1731): compareNums, num1 = 13538137713, num2 = 18588201578
01-25 09:49:11.840: V/CallerInfo(1731): getCallerIndex(), after setprop NUM_LONG = 11, NUM_SHORT = 11
01-25 09:49:11.840: D/CallerInfo(1731): compareNums, new num1 = 13538137713, new num2 = 18588201578
01-25 09:49:11.840: D/CallerInfo(1731): compareNums, num1 = 13660614114, num2 = 18588201578
01-25 09:49:11.840: V/CallerInfo(1731): getCallerIndex(), after setprop NUM_LONG = 11, NUM_SHORT = 11
01-25 09:49:11.840: D/CallerInfo(1731): compareNums, new num1 = 13660614114, new num2 = 18588201578
01-25 09:49:11.840: D/CallerInfo(1731): compareNums, num1 = 13612234488, num2 = 18588201578
01-25 09:49:11.840: V/CallerInfo(1731): getCallerIndex(), after setprop NUM_LONG = 11, NUM_SHORT = 11
01-25 09:49:11.840: D/CallerInfo(1731): compareNums, new num1 = 13612234488, new num2 = 18588201578
01-25 09:49:11.840: D/CallerInfo(1731): compareNums, num1 = 13986469286, num2 = 18588201578
01-25 09:49:11.840: V/CallerInfo(1731): getCallerIndex(), after setprop NUM_LONG = 11, NUM_SHORT = 11
01-25 09:49:11.840: D/CallerInfo(1731): compareNums, new num1 = 13986469286, new num2 = 18588201578
01-25 09:49:11.840: D/CallerInfo(1731): compareNums, num1 = 13538137713, num2 = 18588201578
01-25 09:49:11.840: V/CallerInfo(1731): getCallerIndex(), after setprop NUM_LONG = 11, NUM_SHORT = 11
01-25 09:49:11.840: D/CallerInfo(1731): compareNums, new num1 = 13538137713, new num2 = 18588201578
01-25 09:49:11.840: D/CallerInfo(1731): compareNums, num1 = 13660614114, num2 = 18588201578
01-25 09:49:11.840: V/CallerInfo(1731): getCallerIndex(), after setprop NUM_LONG = 11, NUM_SHORT = 11
01-25 09:49:11.840: D/CallerInfo(1731): compareNums, new num1 = 13660614114, new num2 = 18588201578
01-25 09:49:11.840: D/CallerInfo(1731): compareNums, num1 = 13612234488, num2 = 18588201578
01-25 09:49:11.840: V/CallerInfo(1731): getCallerIndex(), after setprop NUM_LONG = 11, NUM_SHORT = 11
01-25 09:49:11.840: D/CallerInfo(1731): compareNums, new num1 = 13612234488, new num2 = 18588201578
01-25 09:49:11.840: D/CallerInfo(1731): compareNums, num1 = 13986469286, num2 = 18588201578
01-25 09:49:11.840: V/CallerInfo(1731): getCallerIndex(), after setprop NUM_LONG = 11, NUM_SHORT = 11
01-25 09:49:11.840: D/CallerInfo(1731): compareNums, new num1 = 13986469286, new num2 = 18588201578
01-25 09:49:11.840: D/CallerInfo(1731): compareNums, num1 = 13538137713, num2 = 075523540403
